公共数据开放主体名称,更新频率,开放属性,数据格式,数据集领域,数据集名称,数据项,数据摘要,序号
白云区气象局,每6分钟,无条件开放,xls、xml、json、csv,资源环境,白云区未来3小时降雨量预测信息,站点编号、站点名称、所属镇街、所属村、位置信息、频率单位类型，(1-分钟 2-小时 3-天)、频率值、预测起始时间、统计时间、预测降雨量、模型运行时间、创建时间,白云区未来3小时降雨量预测信息。包括：站点编号、站点名称、所属镇街、所属村、位置信息、频率单位类型、频率值、预测起始时间、统计时间、预测降雨量等。数据来源于白云区智慧“气象+”城市赋能平台预测。,38
白云区气象局,每6分钟,无条件开放,xls、xml、json、csv,资源环境,白云区城市内涝气象风险预报信息,"站点编号、站点名称、所属镇街、所属村、位置信息、内涝点类型:0-其它,1-专业服务点,2-高速省道,3-涵隧立交,4-市政道路,5-内巷小区,6-地铁站、频率单位类型，(1-分钟 2-小时 3-天)、频率值、预测起始时间、统计时间、预测降雨量、内涝等级、模型运行时间、创建时间",白云区城市内涝气象风险预报信息。站点编号、站点名称、所属镇街、所属村、位置信息、内涝点类型、频率单位类型、频率值、预测起始时间、统计时间等信息。数据来源于白云区智慧“气象+”城市赋能平台预测。,39
白云区土地开发中心,每年,无条件开放,xls,城市建设,白云区人民政府征地补偿安置公告信息,征地项目、征收范围、征收面积、被征地农村集体经济组织、土地用途和目的、纳入养老保障被征地农民人数、被征地农民养老保险金。,该数据为白云区土地开发中心征地拆迁项目信息。包括:征地项目、征收范围、土地用途和目的、纳入养老保障被征地农民人数等信息。数据来源于白云区人民政府官网重点领域信息公开专栏中的征地信息专栏信息。,40
白云区太和镇人民政府,每年,无条件开放,xls,机构团体,白云区太和镇村（社区）便民服务站,网点名称、地址、办公时间、服务电话、更新时间,该数据为太和镇各村（社区）便民服务站基本信息。包括:网点名称、地址、办公时间、服务电话、更新时间等信息。,41
白云区太和镇人民政府,每年,无条件开放,xls,民生服务,白云区太和镇智慧白云自助终端分布情况,序号、所属部署点名称、详细地址、开放时间、更新时间等信息。,智慧白云自助终端分布情况包括序号、所属部署点名称、详细地址、开放时间、更新时间等信息。,42
白云区景泰街道办事处,每年,无条件开放,xlsx,公共安全,白云区景泰街公共治安岗亭信息,所在区；所在街道；城中村名称；设施名称；详细地址；,该数据为景泰街柯子岭城中村公共治安岗亭的基本信息。包括:区域、地址。,43
白云区景泰街道办事处,每年,无条件开放,xlsx,公共卫生,白云区景泰街环卫工具房信息,所在区；所在街道；城中村名称；设施名称；详细地址；管理单位；作业单位；,该数据为景泰街柯子岭村中村环卫工具房的基本信息。包括：区域、地址、管理单位,44
白云区景泰街道办事处,每年,无条件开放,xlsx,公共卫生,白云区景泰街环卫车辆信息,所在区;所在街道;城中村;车牌号;车辆类型;实际使用单位;整备质量(吨);载货重量(吨);归属压缩站,该数据为景泰街柯子岭村中村环卫车辆的基本信息。包括：区域、使用单位，车辆属性,45
白云区景泰街道办事处,每年,无条件开放,xlsx,民生服务,白云区景泰街寄递物流单位信息,所属行业;单位类型;上级机关;单位名称;单位地址;社区;所在区;所在街道;所在村,该数据为景泰街柯子岭村中村寄递物流单位的基本信息。包括：区域、单位名称、地址,46
白云区同德街道办事处,每年,无条件开放,xls,机构团体,白云区同德街便民服务中心信息,经度；年份；网点名称；区域；办公时间；纬度；更新时间；地址；邮编号码,该数据为白云区同德街各便民服务中心基本信息。包括:年份、区域、网点名称、地址、办公时间、邮编号码、经度、纬度、更新时间等信息。数据来源于《各级政务服务中心指南》。,47
白云区同德街道办事处,每年,无条件开放,xls,社会团体,白云区同德街颐康服务站建设信息,年份；服务站点名称；建筑面积；区域；办公时间；更新时间；地址；联系电话；邮编号码。,该数据为白云区同德街颐康服务站建设基本信息。包括:年份、区域、服务站点名称、地址、办公时间、邮编号码、更新时间等信息。数据来源于同德街政府购买服务指引。,48
白云区新市街道办事处,每年,无条件开放,xls,机构团体,白云区新市街便民服务中心信息,序号、区县、镇街、所属社区、网点机构名称、网点机构地址、邮政编码、工作时间、联系电话、更新时间,该数据为广州市白云区新市街各便民服务中心基本信息。包括:序号、区县、镇街、所属社区、网点机构名称、网点机构地址、邮政编码、联系电话、更新时间等信息。数据来源于《广州市各级政务服务中心指南》。,49
白云区新市街道办事处,每年,无条件开放,xls,机构团体,白云区新市街2024年医疗卫生机构名单,序号、许可证号、单位名称、地址、法定代表人,该数据为广州市白云区新市街各医疗卫生机构名单基本信息。包括:序号、许可证号、单位名称、地址、法定代表人等信息。,50
白云区嘉禾街道办事处,每年,无条件开放,xls,民生服务,白云区嘉禾街颐康服务站数据,颐康服务站名称；所属村居；地址；开放时间；占地面积,该数据为嘉禾街辖内所有颐康服务站的基本信息。包括:颐康服务站名称、所属村居、地址、开放时间、占地面积等信息。数据来源于街文化站收集提供。,51
白云区嘉禾街道办事处,每年,无条件开放,xls,教育科技,白云区嘉禾街教育机构信息,幼儿园、小学及中学的名称、地址、学校类型、学校等级,该数据为嘉禾街辖内所有幼儿园、小学及中学的基本信息。包括:幼儿园、小学及中学的名称、地址、学校类型、学校等级等信息。,52
白云区白云湖街道办事处,每年,无条件开放,xls,机构团体,白云区人民政府白云湖街道办事处村居委会信息,办公地址、邮政编码、联系电话,该数据白云区人民政府白云湖街道办事处村居委会基本信息。,53
白云区白云湖街道办事处,每年,无条件开放,xls,财政预决算,白云区人民政府白云湖街道办事处一般公共预算支出情况信息,年份、项目、金额,白云区人民政府白云湖街道办事处一般公共预算支出情况,54
白云区龙归街道办事处,每年,无条件开放,xls、xml、json、csv、api,机构团体,白云区龙归街道便民服务中心基本信息,网点名称、地址、办公时间、服务电话。,该数据为龙归街道便民服务中心基本信息。包括:网点名称、地址、办公时间、服务电话。,55
白云区龙归街道办事处,每年,无条件开放,xls、xml、json、csv、api,机构团体,白云区龙归街道村（社区）便民服务站基本信息,网点名称、地址、办公时间、服务电话。,该数据为龙归街道村（社区）便民服务站基本信息。包括:网点名称、地址、办公时间、服务电话。,56
